source,airline,origin,destination,search_date,travel_date,advance_days,total_fare,status
demo_connector,Akasa Air,DEL,BOM,2026-08-10,2026-08-11,1,8950,AVAILABLE
demo_connector,Air India,DEL,BOM,2026-08-10,2026-08-11,1,9186,AVAILABLE
demo_connector,IndiGo,DEL,BOM,2026-08-10,2026-08-11,1,8579,AVAILABLE
demo_connector,SpiceJet,DEL,BOM,2026-08-10,2026-08-11,1,9341,AVAILABLE
demo_connector,SpiceJet,DEL,BOM,2026-08-10,2026-08-17,7,7616,AVAILABLE
demo_connector,IndiGo,DEL,BOM,2026-08-10,2026-08-17,7,7531,AVAILABLE
demo_connector,Air India,DEL,BOM,2026-08-10,2026-08-17,7,7650,AVAILABLE
demo_connector,SpiceJet,DEL,BOM,2026-08-10,2026-08-25,15,7685,AVAILABLE
demo_connector,IndiGo,DEL,BOM,2026-08-10,2026-08-25,15,7248,AVAILABLE
demo_connector,Air India,DEL,BOM,2026-08-10,2026-08-25,15,8001,AVAILABLE
demo_connector,Air India,DEL,BOM,2026-08-10,2026-09-09,30,5942,AVAILABLE
demo_connector,Akasa Air,DEL,BOM,2026-08-10,2026-09-09,30,5946,AVAILABLE
demo_connector,IndiGo,DEL,BOM,2026-08-10,2026-09-09,30,6153,AVAILABLE
demo_connector,SpiceJet,DEL,BOM,2026-08-10,2026-09-09,30,7035,AVAILABLE
demo_connector,IndiGo,DEL,BOM,2026-08-10,2026-09-24,45,5073,AVAILABLE
demo_connector,Akasa Air,DEL,BOM,2026-08-10,2026-09-24,45,5211,AVAILABLE
demo_connector,SpiceJet,DEL,BOM,2026-08-10,2026-09-24,45,5673,AVAILABLE
demo_connector,Air India,DEL,BLR,2026-08-10,2026-08-11,1,11420,AVAILABLE
demo_connector,Akasa Air,DEL,BLR,2026-08-10,2026-08-11,1,10449,AVAILABLE
demo_connector,SpiceJet,DEL,BLR,2026-08-10,2026-08-11,1,11236,AVAILABLE
demo_connector,IndiGo,DEL,BLR,2026-08-10,2026-08-11,1,10002,AVAILABLE
demo_connector,SpiceJet,DEL,BLR,2026-08-10,2026-08-17,7,10234,AVAILABLE
demo_connector,IndiGo,DEL,BLR,2026-08-10,2026-08-17,7,9992,AVAILABLE
demo_connector,Air India,DEL,BLR,2026-08-10,2026-08-25,15,8667,AVAILABLE
demo_connector,SpiceJet,DEL,BLR,2026-08-10,2026-08-25,15,9248,AVAILABLE
demo_connector,Akasa Air,DEL,BLR,2026-08-10,2026-08-25,15,8303,AVAILABLE
demo_connector,Akasa Air,DEL,BLR,2026-08-10,2026-09-09,30,7417,AVAILABLE
demo_connector,IndiGo,DEL,BLR,2026-08-10,2026-09-09,30,8552,AVAILABLE
demo_connector,SpiceJet,DEL,BLR,2026-08-10,2026-09-24,45,5880,AVAILABLE
demo_connector,IndiGo,DEL,BLR,2026-08-10,2026-09-24,45,6415,AVAILABLE
demo_connector,Akasa Air,DEL,BLR,2026-08-10,2026-09-24,45,6468,AVAILABLE
demo_connector,Air India,DEL,BLR,2026-08-10,2026-09-24,45,7067,AVAILABLE
demo_connector,Akasa Air,BOM,BLR,2026-08-10,2026-08-11,1,6572,AVAILABLE
demo_connector,SpiceJet,BOM,BLR,2026-08-10,2026-08-11,1,7224,AVAILABLE
demo_connector,Akasa Air,BOM,BLR,2026-08-10,2026-08-17,7,6690,AVAILABLE
demo_connector,IndiGo,BOM,BLR,2026-08-10,2026-08-17,7,6089,AVAILABLE
